"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"
IA,Adair County,43.2,4.52
IA,Adams County,40.1,5.0
IA,Allamakee County,40.4,3.52
IA,Appanoose County,35.7,3.78
IA,Audubon County,42.4,4.46
IA,Benton County,35.7,3.94
IA,Black Hawk County,32.7,4.3
IA,Boone County,34.4,4.66
IA,Bremer County,34.5,3.18
IA,Buchanan County,40.6,4.36
IA,Buena Vista County,30.5,4.0
IA,Butler County,40.3,4.64
IA,Calhoun County,36.4,4.46
IA,Carroll County,39.5,4.86
IA,Cass County,42.8,4.68
IA,Cedar County,36.2,4.3
IA,Cerro Gordo County,31.4,4.9
IA,Cherokee County,34.8,5.4
IA,Chickasaw County,44.1,4.48
IA,Clarke County,44.3,3.28
IA,Clay County,34.6,5.12
IA,Clayton County,44.7,3.78
IA,Clinton County,36.5,3.82
